## char	name	STD	MAC	WIN	PDF	SYM
U+0020	space	040	040	040	040	040
U+0021	exclam	041	041	041	041	041
U+0022	quotedbl	042	042	042	042	-
U+0023	numbersign	043	043	043	043	043
U+0024	dollar	044	044	044	044	-
U+0025	percent	045	045	045	045	045
U+0026	ampersand	046	046	046	046	046
U+0027	quotesingle	251	047	047	047	-
U+0028	parenleft	050	050	050	050	050
U+0029	parenright	051	051	051	051	051
U+002A	asterisk	052	052	052	052	-
U+002B	plus	053	053	053	053	053
U+002C	comma	054	054	054	054	054
U+002D	hyphen	055	055	055	055	-
U+002E	period	056	056	056	056	056
U+002F	slash	057	057	057	057	057
U+0030	zero	060	060	060	060	060
U+0031	one	061	061	061	061	061
U+0032	two	062	062	062	062	062
U+0033	three	063	063	063	063	063
U+0034	four	064	064	064	064	064
U+0035	five	065	065	065	065	065
U+0036	six	066	066	066	066	066
U+0037	seven	067	067	067	067	067
U+0038	eight	070	070	070	070	070
U+0039	nine	071	071	071	071	071
U+003A	colon	072	072	072	072	072
U+003B	semicolon	073	073	073	073	073
U+003C	less	074	074	074	074	074
U+003D	equal	075	075	075	075	075
U+003E	greater	076	076	076	076	076
U+003F	question	077	077	077	077	077
U+0040	at	100	100	100	100	-
U+0041	A	101	101	101	101	-
U+0042	B	102	102	102	102	-
U+0043	C	103	103	103	103	-
U+0044	D	104	104	104	104	-
U+0045	E	105	105	105	105	-
U+0046	F	106	106	106	106	-
U+0047	G	107	107	107	107	-
U+0048	H	110	110	110	110	-
U+0049	I	111	111	111	111	-
U+004A	J	112	112	112	112	-
U+004B	K	113	113	113	113	-
U+004C	L	114	114	114	114	-
U+004D	M	115	115	115	115	-
U+004E	N	116	116	116	116	-
U+004F	O	117	117	117	117	-
U+0050	P	120	120	120	120	-
U+0051	Q	121	121	121	121	-
U+0052	R	122	122	122	122	-
U+0053	S	123	123	123	123	-
U+0054	T	124	124	124	124	-
U+0055	U	125	125	125	125	-
U+0056	V	126	126	126	126	-
U+0057	W	127	127	127	127	-
U+0058	X	130	130	130	130	-
U+0059	Y	131	131	131	131	-
U+005A	Z	132	132	132	132	-
U+005B	bracketleft	133	133	133	133	133
U+005C	backslash	134	134	134	134	-
U+005D	bracketright	135	135	135	135	135
U+005E	asciicircum	136	136	136	136	-
U+005F	underscore	137	137	137	137	137
U+0060	grave	301	140	140	140	-
U+0061	a	141	141	141	141	-
U+0062	b	142	142	142	142	-
U+0063	c	143	143	143	143	-
U+0064	d	144	144	144	144	-
U+0065	e	145	145	145	145	-
U+0066	f	146	146	146	146	-
U+0067	g	147	147	147	147	-
U+0068	h	150	150	150	150	-
U+0069	i	151	151	151	151	-
U+006A	j	152	152	152	152	-
U+006B	k	153	153	153	153	-
U+006C	l	154	154	154	154	-
U+006D	m	155	155	155	155	-
U+006E	n	156	156	156	156	-
